service_id,date,exception_type
2.110.21.2671.2893,20201016,1
2.110.21.2671.2893,20201019,1
2.110.21.2671.2893,20201020,1
2.110.21.2671.2893,20201021,1
2.110.21.2671.2893,20201022,1
2.110.21.2671.2893,20201023,1
2.110.21.2671.2893,20201026,1
2.110.21.2671.2893,20201027,1
2.110.21.2671.2893,20201028,1
2.110.21.2671.2893,20201029,1
2.110.21.2671.2893,20201030,1
2.110.21.2671.2893,20201102,1
2.110.21.2671.2893,20201103,1
2.110.21.2671.2893,20201104,1
2.110.21.2671.2893,20201105,1
2.110.21.2671.2893,20201106,1
2.110.21.2671.2893,20201109,1
2.110.21.2671.2893,20201110,1
2.110.21.2671.2893,20201111,1
2.110.21.2671.2893,20201112,1
2.110.21.2671.2893,20201113,1
2.110.21.2671.2893,20201116,1
2.110.21.2671.2893,20201117,1
2.110.21.2671.2893,20201118,1
2.110.21.2671.2893,20201119,1
2.110.21.2671.2893,20201120,1
2.110.21.2671.2893,20201123,1
2.110.21.2671.2893,20201124,1
2.110.21.2671.2893,20201125,1
2.110.21.2671.2893,20201126,1
2.110.21.2671.2893,20201127,1
2.110.21.2671.2893,20201130,1
2.110.21.2671.2893,20201201,1
2.110.21.2671.2893,20201202,1
2.110.21.2671.2893,20201203,1
2.110.21.2671.2893,20201204,1
2.110.21.2671.2893,20201207,1
2.110.21.2671.2893,20201209,1
2.110.21.2671.2893,20201210,1
2.110.21.2671.2893,20201211,1
2.110.21.2671.2893,20201214,1
2.110.21.2671.2893,20201215,1
2.110.21.2671.2893,20201216,1
2.110.21.2671.2893,20201217,1
2.110.21.2671.2893,20201218,1
2.110.21.2671.2893,20201221,1
2.110.21.2671.2893,20201222,1
2.110.21.2671.2893,20201223,1
2.110.21.2671.2893,20201224,1
2.110.21.2671.2893,20201228,1
2.110.21.2671.2893,20201229,1
2.110.21.2671.2893,20201230,1
2.110.21.2671.2893,20201231,1
2.110.21.2671.2893,20210101,1
2.110.21.2671.2893,20210104,1
2.110.21.2671.2893,20210105,1
2.110.21.2671.2893,20210106,1
2.110.21.2671.2893,20210107,1
2.110.21.2671.2893,20210108,1
2.110.21.2671.2893,20210111,1
2.110.21.2671.2893,20210112,1
2.110.21.2671.2893,20210113,1
2.110.21.2671.2893,20210114,1
2.110.21.2671.2893,20210115,1
2.110.21.2671.2893,20210118,1
2.110.21.2671.2893,20210119,1
2.110.21.2671.2893,20210120,1
2.110.21.2671.2893,20210121,1
2.110.21.2671.2893,20210122,1
2.110.21.2671.2893,20210125,1
2.110.21.2671.2893,20210126,1
2.110.21.2671.2893,20210127,1
2.110.21.2671.2893,20210128,1
2.110.21.2671.2893,20210129,1
2.110.21.2671.2893,20210201,1
2.110.21.2671.2893,20210202,1
2.110.21.2671.2893,20210203,1
2.110.21.2671.2893,20210204,1
2.110.21.2671.2893,20210205,1
2.110.21.2671.2893,20210208,1
2.110.21.2671.2893,20210209,1
2.110.21.2671.2893,20210210,1
2.110.21.2671.2893,20210211,1
2.110.21.2671.2893,20210212,1
2.110.21.3160.2893,20200619,1
2.111.95.1496.2888,20200620,1
2.111.95.1496.2888,20200627,1
2.111.95.1496.2888,20200704,1
2.111.95.1496.2888,20200711,1
2.111.95.1496.2888,20200718,1
2.111.95.1496.2888,20200725,1
2.111.95.1496.2888,20200801,1
2.111.95.1496.2888,20200808,1
2.111.95.1496.2888,20200822,1
2.111.95.1496.2888,20200829,1
2.111.95.1496.2888,20200905,1
2.111.95.1496.2888,20200912,1
2.111.95.1496.2888,20200919,1
2.111.95.1496.2888,20200926,1
2.111.95.1496.2888,20201003,1
2.111.95.1496.2888,20201010,1
2.111.95.1496.2888,20201017,1
2.111.95.1496.2888,20201024,1
2.111.95.1496.2888,20201031,1
2.111.95.1496.2888,20201107,1
2.111.95.1496.2888,20201114,1
2.111.95.1496.2888,20201121,1
2.111.95.1496.2888,20201128,1
2.111.95.1496.2888,20201205,1
2.111.95.1496.2888,20201212,1
2.111.95.1496.2888,20201219,1
2.111.95.1496.2888,20210102,1
2.111.95.1496.2888,20210109,1
2.111.95.1496.2888,20210116,1
2.111.95.1496.2888,20210123,1
2.111.95.1496.2888,20210130,1
2.111.95.1496.2888,20210206,1
2.111.95.1496.2888,20210213,1
2.111.95.1497.2888,20200621,1
2.111.95.1497.2888,20200624,1
2.111.95.1497.2888,20200628,1
2.111.95.1497.2888,20200705,1
2.111.95.1497.2888,20200712,1
2.111.95.1497.2888,20200719,1
2.111.95.1497.2888,20200726,1
2.111.95.1497.2888,20200802,1
2.111.95.1497.2888,20200809,1
2.111.95.1497.2888,20200815,1
2.111.95.1497.2888,20200816,1
2.111.95.1497.2888,20200823,1
2.111.95.1497.2888,20200830,1
2.111.95.1497.2888,20200906,1
2.111.95.1497.2888,20200911,1
2.111.95.1497.2888,20200913,1
2.111.95.1497.2888,20200920,1
2.111.95.1497.2888,20200924,1
2.111.95.1497.2888,20200927,1
2.111.95.1497.2888,20201004,1
2.111.95.1497.2888,20201011,1
2.111.95.1497.2888,20201012,1
2.111.95.1497.2888,20201018,1
2.111.95.1497.2888,20201025,1
2.111.95.1497.2888,20201101,1
2.111.95.1497.2888,20201108,1
2.111.95.1497.2888,20201115,1
2.111.95.1497.2888,20201122,1
2.111.95.1497.2888,20201129,1
2.111.95.1497.2888,20201206,1
2.111.95.1497.2888,20201208,1
2.111.95.1497.2888,20201213,1
2.111.95.1497.2888,20201220,1
2.111.95.1497.2888,20201225,1
2.111.95.1497.2888,20201226,1
2.111.95.1497.2888,20201227,1
2.111.95.1497.2888,20210103,1
2.111.95.1497.2888,20210110,1
2.111.95.1497.2888,20210117,1
2.111.95.1497.2888,20210124,1
2.111.95.1497.2888,20210131,1
2.111.95.1497.2888,20210207,1
2.111.95.2406.2888,20200619,1
2.111.95.2406.2888,20200622,1
2.111.95.2406.2888,20200623,1
2.111.95.2406.2888,20200625,1
2.111.95.2406.2888,20200626,1
2.111.95.2406.2888,20200629,1
2.111.95.2406.2888,20200630,1
2.111.95.2406.2888,20200701,1
2.111.95.2406.2888,20200702,1
2.111.95.2406.2888,20200703,1
2.111.95.2406.2888,20200706,1
2.111.95.2406.2888,20200707,1
2.111.95.2406.2888,20200708,1
2.111.95.2406.2888,20200709,1
2.111.95.2406.2888,20200710,1
2.111.95.2406.2888,20200713,1
2.111.95.2406.2888,20200714,1
2.111.95.2406.2888,20200715,1
2.111.95.2406.2888,20200716,1
2.111.95.2406.2888,20200717,1
2.111.95.2406.2888,20200720,1
2.111.95.2406.2888,20200721,1
2.111.95.2406.2888,20200722,1
2.111.95.2406.2888,20200723,1
2.111.95.2406.2888,20200724,1
2.111.95.2406.2888,20200727,1
2.111.95.2406.2888,20200728,1
2.111.95.2406.2888,20200729,1
2.111.95.2406.2888,20200730,1
2.111.95.2406.2888,20200731,1
2.111.95.2406.2888,20200803,1
2.111.95.2406.2888,20200804,1
2.111.95.2406.2888,20200805,1
2.111.95.2406.2888,20200806,1
2.111.95.2406.2888,20200807,1
2.111.95.2406.2888,20200810,1
2.111.95.2406.2888,20200811,1
2.111.95.2406.2888,20200812,1
2.111.95.2406.2888,20200813,1
2.111.95.2406.2888,20200814,1
2.111.95.2406.2888,20200817,1
2.111.95.2406.2888,20200818,1
2.111.95.2406.2888,20200819,1
2.111.95.2406.2888,20200820,1
2.111.95.2406.2888,20200821,1
2.111.95.2406.2888,20200824,1
2.111.95.2406.2888,20200825,1
2.111.95.2406.2888,20200826,1
2.111.95.2406.2888,20200827,1
2.111.95.2406.2888,20200828,1
2.111.95.2406.2888,20200831,1
2.111.95.2406.2888,20200901,1
2.111.95.2406.2888,20200902,1
2.111.95.2406.2888,20200903,1
2.111.95.2406.2888,20200904,1
2.111.95.2406.2888,20200907,1
2.111.95.2406.2888,20200908,1
2.111.95.2406.2888,20200909,1
2.111.95.2406.2888,20200910,1
2.111.95.2406.2888,20200914,1
2.111.95.2406.2888,20200915,1
2.111.95.2406.2888,20200916,1
2.111.95.2406.2888,20200917,1
2.111.95.2406.2888,20200918,1
2.111.95.2406.2888,20200921,1
2.111.95.2406.2888,20200922,1
2.111.95.2406.2888,20200923,1
2.111.95.2406.2888,20200925,1
2.111.95.2406.2888,20200928,1
2.111.95.2406.2888,20200929,1
2.111.95.2406.2888,20200930,1
2.111.95.2406.2888,20201001,1
2.111.95.2406.2888,20201002,1
2.111.95.2406.2888,20201005,1
2.111.95.2406.2888,20201006,1
2.111.95.2406.2888,20201007,1
2.111.95.2406.2888,20201008,1
2.111.95.2406.2888,20201009,1
2.111.95.2406.2888,20201013,1
2.111.95.2406.2888,20201014,1
2.111.95.2406.2888,20201015,1
2.111.95.2406.2888,20201016,1
2.111.95.2406.2888,20201019,1
2.111.95.2406.2888,20201020,1
2.111.95.2406.2888,20201021,1
2.111.95.2406.2888,20201022,1
2.111.95.2406.2888,20201023,1
2.111.95.2406.2888,20201026,1
2.111.95.2406.2888,20201027,1
2.111.95.2406.2888,20201028,1
2.111.95.2406.2888,20201029,1
2.111.95.2406.2888,20201030,1
2.111.95.2406.2888,20201102,1
2.111.95.2406.2888,20201103,1
2.111.95.2406.2888,20201104,1
2.111.95.2406.2888,20201105,1
2.111.95.2406.2888,20201106,1
2.111.95.2406.2888,20201109,1
2.111.95.2406.2888,20201110,1
2.111.95.2406.2888,20201111,1
2.111.95.2406.2888,20201112,1
2.111.95.2406.2888,20201113,1
2.111.95.2406.2888,20201116,1
2.111.95.2406.2888,20201117,1
2.111.95.2406.2888,20201118,1
2.111.95.2406.2888,20201119,1
2.111.95.2406.2888,20201120,1
2.111.95.2406.2888,20201123,1
2.111.95.2406.2888,20201124,1
2.111.95.2406.2888,20201125,1
2.111.95.2406.2888,20201126,1
2.111.95.2406.2888,20201127,1
2.111.95.2406.2888,20201130,1
2.111.95.2406.2888,20201201,1
2.111.95.2406.2888,20201202,1
2.111.95.2406.2888,20201203,1
2.111.95.2406.2888,20201204,1
2.111.95.2406.2888,20201207,1
2.111.95.2406.2888,20201209,1
2.111.95.2406.2888,20201210,1
2.111.95.2406.2888,20201211,1
2.111.95.2406.2888,20201214,1
2.111.95.2406.2888,20201215,1
2.111.95.2406.2888,20201216,1
2.111.95.2406.2888,20201217,1
2.111.95.2406.2888,20201218,1
2.111.95.2406.2888,20201221,1
2.111.95.2406.2888,20201222,1
2.111.95.2406.2888,20201223,1
2.111.95.2406.2888,20201224,1
2.111.95.2406.2888,20201228,1
2.111.95.2406.2888,20201229,1
2.111.95.2406.2888,20201230,1
2.111.95.2406.2888,20201231,1
2.111.95.2406.2888,20210101,1
2.111.95.2406.2888,20210104,1
2.111.95.2406.2888,20210105,1
2.111.95.2406.2888,20210106,1
2.111.95.2406.2888,20210107,1
2.111.95.2406.2888,20210108,1
2.111.95.2406.2888,20210111,1
2.111.95.2406.2888,20210112,1
2.111.95.2406.2888,20210113,1
2.111.95.2406.2888,20210114,1
2.111.95.2406.2888,20210115,1
2.111.95.2406.2888,20210118,1
2.111.95.2406.2888,20210119,1
2.111.95.2406.2888,20210120,1
2.111.95.2406.2888,20210121,1
2.111.95.2406.2888,20210122,1
2.111.95.2406.2888,20210125,1
2.111.95.2406.2888,20210126,1
2.111.95.2406.2888,20210127,1
2.111.95.2406.2888,20210128,1
2.111.95.2406.2888,20210129,1
2.111.95.2406.2888,20210201,1
2.111.95.2406.2888,20210202,1
2.111.95.2406.2888,20210203,1
